,layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
0,BOA,4090.26,1000000000.0,-244286000.0,,0,0,544.798,100000000.0
1,0,4034.45,895680000.0,-236621000.0,15330100.0,0,0,,89568000.0
2,1,3922.9,718554000.0,-221503000.0,14906200.0,0,0,,71855400.0
3,2,3815.67,576455000.0,-206801000.0,14498700.0,0,0,,57645500.0
4,3,3712.43,462457000.0,-192498000.0,14106500.0,0,0,,46245700.0
5,4,3613.06,371003000.0,-178580000.0,13728900.0,0,0,,37100300.0
6,5,3517.33,297635000.0,-165033000.0,13365100.0,0,0,,29763500.0
7,6,3424.93,238776000.0,-151844000.0,13014000.0,0,0,,23877600.0
8,7,3335.63,191556000.0,-138999000.0,12674700.0,0,0,,19155600.0
9,8,3249.3,153675000.0,-126489000.0,12346700.0,0,0,,15367500.0
10,9,3165.67,123285000.0,-114301000.0,12028900.0,0,0,,12328500.0
11,10,3084.44,98904300.0,-102426000.0,11720200.0,0,0,,9890430.0
12,11,3005.29,79345400.0,-90856600.0,11419500.0,0,0,,7934540.0
13,12,2927.82,63654300.0,-79584300.0,11125100.0,0,0,,6365430.0
14,13,2851.6,51066300.0,-68604000.0,10835500.0,0,0,,5106630.0
15,14,2776.09,40967600.0,-57912000.0,10548600.0,0,0,,4096760.0
16,15,2700.67,32866000.0,-47506700.0,10262000.0,0,0,,3286600.0
17,16,2624.44,26366500.0,-37389600.0,9972320.0,0,0,,2636650.0
18,17,2546.12,21152400.0,-27566100.0,9674720.0,0,0,,2115240.0
19,18,2463.75,16969300.0,-18047900.0,9361740.0,0,1,,1696930.0
20,19,2374.42,13613500.0,-8855840.0,9022310.0,0,1,,1361350.0
21,20,2286.8,10921400.0,0.0,8689370.0,0,1,,1092140.0
22,21,2201.35,8761610.0,8527030.0,8364680.0,0,1,,876161.0
23,22,2117.93,7028940.0,16733200.0,8047690.0,0,1,,702894.0
24,23,2036.38,5638920.0,24626000.0,7737810.0,0,1,,563892.0
25,24,1956.56,4523790.0,32212100.0,7434510.0,0,1,,452379.0
26,25,1878.81,3629180.0,39498900.0,7139070.0,0,1,,362918.0
27,26,1803.25,2911490.0,46494400.0,6851960.0,0,1,,291149.0
28,27,1729.8,2335720.0,53206900.0,6572890.0,0,1,,233572.0
29,28,1658.39,1873820.0,59644100.0,6301550.0,0,1,,187382.0
30,29,1588.99,1503260.0,65813800.0,6037810.0,0,1,,150326.0
31,30,1521.67,1205980.0,71723700.0,5782030.0,0,1,,120598.0
32,31,1456.41,967489.0,77381700.0,5534060.0,0,1,,96748.9
33,32,1393.16,776162.0,82795600.0,5293710.0,0,1,,77616.2
34,33,1331.86,622671.0,87972900.0,5060800.0,0,1,,62267.1
35,34,1272.49,499533.0,92920900.0,4835210.0,0,1,,49953.3
36,35,1215.02,400747.0,97646900.0,4616840.0,0,1,,40074.7
37,36,1159.42,321497.0,102158000.0,4405560.0,0,1,,32149.7
38,37,1105.66,257919.0,106462000.0,4201290.0,0,1,,25791.9
39,38,1053.74,206914.0,110564000.0,4003990.0,0,1,,20691.4
40,39,1003.63,165995.0,114473000.0,3813570.0,0,1,,16599.5
41,40,955.31,133169.0,118195000.0,3629980.0,0,1,,13316.9
42,41,908.769,106834.0,121736000.0,3453130.0,0,1,,10683.4
43,42,863.985,85706.6,125104000.0,3282960.0,0,1,,8570.660000000002
44,43,820.934,68757.6,128305000.0,3119370.0,0,1,,6875.760000000001
45,44,779.596,55160.3,131346000.0,2962300.0,0,1,,5516.03
46,45,739.962,44252.0,134233000.0,2811700.0,0,1,,4425.2
47,46,702.001,35500.9,136973000.0,2667450.0,0,1,,3550.09
48,47,665.674,28480.4,139571000.0,2529420.0,0,1,,2848.04
49,48,630.941,22848.2,142035000.0,2397440.0,0,1,,2284.82
50,49,597.773,18329.8,144369000.0,2271410.0,0,1,,1832.98
51,50,566.127,14705.0,146580000.0,2151160.0,0,1,,1470.5
52,51,535.956,11797.0,148674000.0,2036520.0,0,1,,1179.7
53,52,507.214,9464.04,150656000.0,1927310.0,0,1,,946.4040000000001
54,53,479.852,7592.46,152532000.0,1823340.0,0,1,,759.246
55,54,455.15,6091.01,154308000.0,1729470.0,0,0,,609.101
56,55,436.218,4886.47,156001000.0,1657540.0,0,0,,488.647
57,56,419.15,3920.14,157627000.0,1592680.0,0,0,,392.014
58,57,403.411,3144.91,159189000.0,1532880.0,0,0,,314.491
59,58,389.571,2522.98,160696000.0,1480290.0,0,0,,252.298
60,59,378.165,2024.04,162155000.0,1436950.0,0,0,,202.404
61,60,368.203,1623.78,163573000.0,1399100.0,0,0,,162.378
62,61,359.696,1302.66,164956000.0,1366770.0,0,0,,130.26600000000002
63,62,353.22,1045.05,166310000.0,1342160.0,0,0,,104.505
64,63,347.765,838.388,167642000.0,1321430.0,0,0,,83.8388
65,64,342.356,672.591,168953000.0,1300880.0,0,0,,67.2591
66,65,337.399,539.582,170244000.0,1282050.0,0,0,,53.9582
67,66,333.006,432.876,171518000.0,1265350.0,0,0,,43.2876
68,67,329.05,347.272,172776000.0,1250320.0,0,0,,34.7272
69,68,326.217,278.597,174021000.0,1239550.0,0,0,,27.859699999999997
70,69,325.168,223.502,175258000.0,1235570.0,0,0,,22.3502
71,70,324.901,179.303,176493000.0,1234560.0,0,0,,17.9303
72,71,325.768,143.845,177730000.0,1237850.0,0,0,,14.3845
73,72,329.058,115.399,178974000.0,1250350.0,0,0,,11.5399
74,73,333.785,92.5779,180233000.0,1268310.0,0,0,,9.25779
75,74,337.772,74.27,181509000.0,1283460.0,0,0,,7.427
76,75,342.718,59.5826,182802000.0,1302250.0,0,0,,5.95826
77,76,348.831,47.7998,184116000.0,1325480.0,0,0,,4.77998
78,77,355.458,38.3471,185454000.0,1350660.0,0,0,,3.8347099999999994
79,78,362.972,30.7637,186819000.0,1379220.0,0,0,,3.07637
80,79,371.526,24.68,188214000.0,1411720.0,0,0,,2.468
81,80,379.952,19.7993,189642000.0,1443740.0,0,0,,1.9799299999999997
82,81,387.331,15.8839,191100000.0,1471780.0,0,0,,1.58839
83,82,394.504,12.7427,192585000.0,1499030.0,0,0,,1.27427
84,83,401.161,10.2228,194097000.0,1524330.0,0,0,,1.02228
85,84,405.99,8.20117,195630000.0,1542680.0,0,0,,0.8201169999999999
86,85,409.753,6.57933,197180000.0,1556970.0,0,0,,0.657933
87,86,412.809,5.27823,198743000.0,1568590.0,0,0,,0.527823
88,87,415.106,4.23442,200316000.0,1577320.0,0,0,,0.423442
89,88,416.667,3.39704,201896000.0,1583250.0,0,0,,0.339704
90,89,417.613,2.72525,203481000.0,1586840.0,0,0,,0.272525
91,90,417.92,2.18632,205069000.0,1588010.0,0,0,,0.21863199999999997
92,91,417.495,1.75396,206656000.0,1586390.0,0,0,,0.175396
93,92,416.472,1.4071,208240000.0,1582500.0,0,0,,0.14071
94,93,414.96,1.12884,209820000.0,1576760.0,0,0,,0.112884
95,94,413.043,0.905603,211393000.0,1569480.0,0,0,,0.0905603
96,95,410.905,0.726514,212958000.0,1561350.0,0,0,,0.07265139999999999
97,96,408.787,0.582841,214516000.0,1553300.0,0,0,,0.058284100000000005
98,97,406.787,0.467581,216065000.0,1545700.0,0,0,,0.046758100000000004
99,98,404.818,0.375113,217607000.0,1538220.0,0,0,,0.0375113
100,99,402.618,0.300932,219141000.0,1529870.0,0,0,,0.030093199999999997
101,100,399.856,0.241421,220666000.0,1519370.0,0,0,,0.0241421
102,101,396.136,0.193678,222178000.0,1505230.0,0,0,,0.0193678
103,102,390.842,0.155377,223673000.0,1485120.0,0,0,,0.0155377
104,103,382.989,0.12465,225144000.0,1455280.0,0,0,,0.012465
105,104,363.735,0.1,226562000.0,1382120.0,0,0,,0.01
